seqid	len	gc	cov_pa61-scaffolds.fa.ERR138445.bowtie2.sorted.bam	cov_pa61-scaffolds.fa.ERR138446.bowtie2.sorted.bam	taxlevel_species	taxlevel_order	taxlevel_phylum	taxlevel_superkingdom
93688	119	0.478991596638655	137.714285714286	53.8487394957983	Not annotated	Not annotated	Not annotated	Not annotated
58684	74	0.351351351351351	125.283783783784	60.6891891891892	Not annotated	Not annotated	Not annotated	Not annotated
320907	113	0.424778761061947	337.486725663717	215.150442477876	Not annotated	Not annotated	Not annotated	Not annotated
297904	194	0.350515463917526	33.180412371134	16.2938144329897	Not annotated	Not annotated	Not annotated	Not annotated
63406	62	0.338709677419355	13.1612903225806	6.53225806451613	Not annotated	Not annotated	Not annotated	Not annotated
127086	67	0.388059701492537	0	0	Not annotated	Not annotated	Not annotated	Not annotated
319611	155	0.432258064516129	32.9806451612903	22.1806451612903	Not annotated	Not annotated	Not annotated	Not annotated
198854	61	0.491803278688525	11.3606557377049	18.3114754098361	Not annotated	Not annotated	Not annotated	Not annotated
3509	73	0.506849315068493	74.1643835616439	79.3013698630138	Not annotated	Not annotated	Not annotated	Not annotated
246293	69	0.507246376811594	46.0724637681159	40.0289855072464	Not annotated	Not annotated	Not annotated	Not annotated
18581	68	0.382352941176471	0	0.852941176470588	Not annotated	Not annotated	Not annotated	Not annotated
340081	11984	0.336698931909212	45.1798230974601	21.7978137516686	Not annotated	Not annotated	Not annotated	Not annotated
77451	64	0.40625	18.84375	19.296875	Not annotated	Not annotated	Not annotated	Not annotated
320231	61	0.409836065573771	9.26229508196721	1.98360655737705	Not annotated	Not annotated	Not annotated	Not annotated
307793	78	0.474358974358974	15	5.67948717948718	Not annotated	Not annotated	Not annotated	Not annotated
210774	61	0.491803278688525	41.3770491803279	40.5901639344262	Not annotated	Not annotated	Not annotated	Not annotated
64576	98	0.336734693877551	77.0408163265307	40.9897959183673	Not annotated	Not annotated	Not annotated	Not annotated
343733	1416	0.417372881355932	99.3453389830519	40.8721751412432	Not annotated	Not annotated	Not annotated	Not annotated
310850	62	0.32258064516129	27.4516129032258	14.3870967741935	Not annotated	Not annotated	Not annotated	Not annotated
70507	70	0.5	3.98571428571429	3.08571428571429	Not annotated	Not annotated	Not annotated	Not annotated
1387	121	0.363636363636364	62.3223140495868	46.7355371900826	Not annotated	Not annotated	Not annotated	Not annotated
104330	122	0.39344262295082	88.0245901639345	45.6147540983607	Not annotated	Not annotated	Not annotated	Not annotated
85875	106	0.433962264150943	45.3490566037736	31.6132075471698	Not annotated	Not annotated	Not annotated	Not annotated
133337	64	0.3125	1	0	Not annotated	Not annotated	Not annotated	Not annotated
290816	74	0.486486486486487	358.432432432433	286.756756756756	Not annotated	Not annotated	Not annotated	Not annotated
178946	93	0.591397849462366	49.7849462365591	30.4623655913979	Not annotated	Not annotated	Not annotated	Not annotated
1785	81	0.45679012345679	400.901234567902	247.666666666666	Not annotated	Not annotated	Not annotated	Not annotated
233372	70	0.528571428571429	19.9	26.9571428571429	Not annotated	Not annotated	Not annotated	Not annotated
287374	78	0.320512820512821	27.7948717948718	10.9230769230769	Not annotated	Not annotated	Not annotated	Not annotated
66454	70	0.314285714285714	46.1714285714286	33	Not annotated	Not annotated	Not annotated	Not annotated
284661	74	0.405405405405405	98.4189189189189	122.756756756757	Not annotated	Not annotated	Not annotated	Not annotated
51599	73	0.465753424657534	22.4794520547945	6.50684931506849	Not annotated	Not annotated	Not annotated	Not annotated
18324	71	0.380281690140845	89.6619718309858	50.4507042253521	Not annotated	Not annotated	Not annotated	Not annotated
271124	169	0.479289940828402	38.8402366863905	20.3491124260355	Not annotated	Not annotated	Not annotated	Not annotated
242006	121	0.363636363636364	28.7768595041322	23.6859504132231	Not annotated	Not annotated	Not annotated	Not annotated
220912	117	0.333333333333333	22.4444444444445	11.8376068376068	Not annotated	Not annotated	Not annotated	Not annotated
283390	114	0.517543859649123	11.5614035087719	6.91228070175439	Not annotated	Not annotated	Not annotated	Not annotated
169445	72	0.291666666666667	0	0.75	Not annotated	Not annotated	Not annotated	Not annotated
336810	36626	0.387649195640893	55.1477092775834	24.9888603724176	Caenorhabditis remanei	Rhabditida	Nematoda	Eukaryota
19092	121	0.413223140495868	757.033057851249	485.487603305788	Not annotated	Not annotated	Not annotated	Not annotated
43297	140	0.4	115.614285714286	60.8642857142857	Not annotated	Not annotated	Not annotated	Not annotated
195825	64	0.40625	77.375	58.78125	Not annotated	Not annotated	Not annotated	Not annotated
110875	72	0.555555555555556	21.4305555555556	18.5694444444444	Not annotated	Not annotated	Not annotated	Not annotated
337469	851	0.380728554641598	30.1985898942422	11.9588719153936	Not annotated	Not annotated	Not annotated	Not annotated
223159	63	0.587301587301587	4.58730158730159	6.44444444444444	Not annotated	Not annotated	Not annotated	Not annotated
72335	70	0.4	60.8857142857142	34.4	Not annotated	Not annotated	Not annotated	Not annotated
238276	61	0.409836065573771	1	1.83606557377049	Not annotated	Not annotated	Not annotated	Not annotated
303475	70	0.514285714285714	53.5	43.7571428571428	Not annotated	Not annotated	Not annotated	Not annotated
1638	62	0.532258064516129	57.9838709677419	40.2741935483871	Not annotated	Not annotated	Not annotated	Not annotated
318810	73	0.547945205479452	42.5890410958904	23.7945205479452	Not annotated	Not annotated	Not annotated	Not annotated
155460	73	0.561643835616438	0.410958904109589	0.520547945205479	Not annotated	Not annotated	Not annotated	Not annotated
58979	68	0.485294117647059	69.0735294117647	33.4411764705882	Not annotated	Not annotated	Not annotated	Not annotated
254418	111	0.468468468468468	33.0630630630631	15.7477477477477	Not annotated	Not annotated	Not annotated	Not annotated
342651	8687	0.366870035685507	79.081731322665	38.7818579486611	Caenorhabditis remanei	Rhabditida	Nematoda	Eukaryota
334549	3625	0.422896551724138	87.3955862068992	44.9244137931041	Not annotated	Not annotated	Not annotated	Not annotated
69500	65	0.430769230769231	7.04615384615385	7.8	Not annotated	Not annotated	Not annotated	Not annotated
314484	121	0.487603305785124	1911.59504132235	1792.68595041325	Not annotated	Not annotated	Not annotated	Not annotated
